,caption,caption_list
15939,RT @AngelOfCannabis:  #StonerFam #smokeweed #CannabisCommunity https://t.co/kf8o1COJuF,"['stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/kf8o1cojuf']"
16074,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
16075,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
16083,"RT @BuddhaSeeds: Este #finde es para ti#BuddhaWhiteWidow 
#cannabisindustry #cannabisnews #cannabisculture #WeedLovers #buddhaseeds #wee","['finde', 'buddhawhitewidow', 'cannabisindustry', 'weedlovers', 'wee']"
16146,RT @CLEARUK: IRELAND: People In Pain Want Access To Medicinal #Cannabis. The most restrictive medical access programme in the world covers,"['ireland', 'people', 'pain', 'access', 'medicinal', 'cannabis', 'restrictive', 'medical', 'access', 'programme', 'world', 'covers']"
16155," Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis fl https://t.co/UaESzdbaZP","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'fl', 'https', '//t.co/uaeszdbazp']"
16272,RT @AngelOfCannabis:  #StonerFam #smokeweed #CannabisCommunity https://t.co/BmyuC4NZ5e,"['stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/bmyuc4nz5e']"
16299,"RT @NORML: In 1999, the first study to document the efficacy of #THC as a treatment for patients with #Tourette syndrome reported a drop in","['1999', 'first', 'study', 'document', 'efficacy', 'thc', 'treatment', 'patients', 'tourette', 'syndrome', 'reported', 'drop']"
16353,"@FoxNews #Yidiots, not #Russians, colonized all #world, #power, #finance, #medicine, #media and #academia and cause https://t.co/jP094bgi9J","['yidiots', 'russians', 'colonized', 'world', 'power', 'finance', 'medicine', 'media', 'academia', 'cause', 'https', '//t.co/jp094bgi9j']"
16371,"@BBCWorld #Yidiots, not #Russians, colonized all #world, #power, #finance, #medicine, #media and #academia and caus https://t.co/VoDeX1hg6i","['yidiots', 'russians', 'colonized', 'world', 'power', 'finance', 'medicine', 'media', 'academia', 'caus', 'https', '//t.co/vodex1hg6i']"
16425,"@CNBC #Yidiots, not #Russians, colonized all #world, #power, #finance, #medicine, #media and #academia and caused 9 https://t.co/5Rwy6REJUJ","['yidiots', 'russians', 'colonized', 'world', 'power', 'finance', 'medicine', 'media', 'academia', 'caused', 'https', '//t.co/5rwy6rejuj']"
16434,RT @420JobsCareers: JOB POSTING: Sales Representative for Cannabis Company in Fallon Nevada! @ LINK: https://t.co/440PbmLGo1 #Marijuana #Jo,"['job', 'posting', 'sales', 'representative', 'cannabis', 'company', 'fallon', 'nevada', 'link', 'https', '//t.co/440pbmlgo1', 'marijuana']"
16461,"RT @KannabiaSeeds:  THCV by #KannabiaSeeds  @IntKannabia @Kannabia_Samen @Kannabia_US
 Gracias a los amigos #kannabistas @AdrycManellson","['thcv', 'gracias', 'amigos', 'kannabistas']"
16462,"RT @KannabiaSeeds:  THCV by #KannabiaSeeds  @IntKannabia @Kannabia_Samen @Kannabia_US
 Gracias a los amigos #kannabistas @AdrycManellson","['thcv', 'gracias', 'amigos', 'kannabistas']"
16463,"RT @KannabiaSeeds:  THCV by #KannabiaSeeds  @IntKannabia @Kannabia_Samen @Kannabia_US
 Gracias a los amigos #kannabistas @AdrycManellson","['thcv', 'gracias', 'amigos', 'kannabistas']"
16464,"RT @KannabiaSeeds:  THCV by #KannabiaSeeds  @IntKannabia @Kannabia_Samen @Kannabia_US
 Gracias a los amigos #kannabistas @AdrycManellson","['thcv', 'gracias', 'amigos', 'kannabistas']"
16542,RT @AngelOfCannabis:  #StonerFam #smokeweed #CannabisCommunity https://t.co/w0fscFjUTA,"['stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/w0fscfjuta']"
16578,RT @AngelOfCannabis: Ganjaland  #StonerFam #smokeweed #CannabisCommunity https://t.co/JarYkXyKRu,"['ganjaland', 'stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/jarykxykru']"
16686,RT @AngelOfCannabis: Couple goals  #StonerFam #smokeweed #CannabisCommunity https://t.co/GNVpGBC8Uq,"['couple', 'goals', 'stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/gnvpgbc8uq']"
16884,"RT @InvestorIdeas: New #Stocks to Watch at https://t.co/xPfkleRCXC in #Biotech, #Cannabis and #Mining: (NASDAQ: $AMLX) (NASDAQ: $CINC) (NAS","['new', 'stocks', 'watch', 'https', '//t.co/xpfklercxc', 'biotech', 'cannabis', 'mining', 'nasdaq', 'amlx', 'nasdaq', 'cinc']"
16902,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
16903,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
16911,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
16912,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
16947,"@FoxNews #Yidiots, not #Russians, colonized all #world, #power, #finance, #medicine, #media and #academia and cause https://t.co/m4UBJIwOcE","['yidiots', 'russians', 'colonized', 'world', 'power', 'finance', 'medicine', 'media', 'academia', 'cause', 'https', '//t.co/m4ubjiwoce']"
17028,"@FoxNews #Yidiots, not #Russians, colonized all #world, #power, #finance, #medicine, #media and #academia and cause https://t.co/GMH83xSdlK","['yidiots', 'russians', 'colonized', 'world', 'power', 'finance', 'medicine', 'media', 'academia', 'cause', 'https', '//t.co/gmh83xsdlk']"
17073,"@FoxNews #Yidiots, not #Russians, colonized all #world, #power, #finance, #medicine, #media and #academia and cause https://t.co/EvOU02Weft","['yidiots', 'russians', 'colonized', 'world', 'power', 'finance', 'medicine', 'media', 'academia', 'cause', 'https', '//t.co/evou02weft']"
17091,"RT @InvestorIdeas: New #Stocks to Watch at https://t.co/xPfkleRCXC in #Biotech, #Cannabis and #Mining: (NASDAQ: $AMLX) (NASDAQ: $CINC) (NAS","['new', 'stocks', 'watch', 'https', '//t.co/xpfklercxc', 'biotech', 'cannabis', 'mining', 'nasdaq', 'amlx', 'nasdaq', 'cinc']"
17163,"@FoxNews #Yidiots, not #Russians, colonized all #world, #power, #finance, #medicine, #media and #academia and cause https://t.co/brjn1feY4M","['yidiots', 'russians', 'colonized', 'world', 'power', 'finance', 'medicine', 'media', 'academia', 'cause', 'https', '//t.co/brjn1fey4m']"
17280,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
17281,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
17307,RT @CLEARUK: IRELAND: People In Pain Want Access To Medicinal #Cannabis. The most restrictive medical access programme in the world covers,"['ireland', 'people', 'pain', 'access', 'medicinal', 'cannabis', 'restrictive', 'medical', 'access', 'programme', 'world', 'covers']"
17352,"RT @Blaze_higg: Let me be your favorite dealer
Flower nice healthy  place your orders now! We deliver nation wide 
#Weedmob #WeedLover","['let', 'favorite', 'dealer', 'flower', 'nice', 'healthy', 'place', 'orders', 'deliver', 'nation', 'wide', 'weedmob', 'weedlover']"
17451,RT @AngelOfCannabis: Couple goals  #StonerFam #smokeweed #CannabisCommunity https://t.co/GNVpGBC8Uq,"['couple', 'goals', 'stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/gnvpgbc8uq']"
17523,RT @AngelOfCannabis:  #StonerFam #smokeweed #CannabisCommunity https://t.co/60SYfXVQ6r,"['stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/60syfxvq6r']"
17568,"@FoxNews #Yidiots, not #Russians, colonized all #world, #power, #finance, #medicine, #media and #academia and cause https://t.co/eTgThQTk4W","['yidiots', 'russians', 'colonized', 'world', 'power', 'finance', 'medicine', 'media', 'academia', 'cause', 'https', '//t.co/etgthqtk4w']"
17595,"RT @todd_harrison: NCAA loosens marijuana rules for college athletes

The NCAA said Friday it was raising the allowable THC limits in its m","['loosens', 'marijuana', 'rules', 'college', 'athletes', 'said', 'friday', 'raising', 'allowable', 'thc', 'limits']"
17613,"@FoxNews #Yidiots, not #Russians, colonized all #world, #power, #finance, #medicine, #media and #academia and cause https://t.co/bML6TnqNUz","['yidiots', 'russians', 'colonized', 'world', 'power', 'finance', 'medicine', 'media', 'academia', 'cause', 'https', '//t.co/bml6tnqnuz']"
17640,RT @AngelOfCannabis:  #StonerFam #smokeweed #CannabisCommunity https://t.co/60SYfXVQ6r,"['stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/60syfxvq6r']"
17658,RT @AngelOfCannabis:  #StonerFam #smokeweed #CannabisCommunity https://t.co/60SYfXVQ6r,"['stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/60syfxvq6r']"
17667,RT @AngelOfCannabis: Couple goals  #StonerFam #smokeweed #CannabisCommunity https://t.co/GNVpGBC8Uq,"['couple', 'goals', 'stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/gnvpgbc8uq']"
17703,RT @AngelOfCannabis:  #StonerFam #smokeweed #CannabisCommunity https://t.co/kf8o1COJuF,"['stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/kf8o1cojuf']"
17721,"RT @todd_harrison: NJ GOV: Adult-Use Canna Sales Within Weeks

""I hope you're going to see explicit movement in March on medical dispensari","['nj', 'gov', 'adult-use', 'canna', 'sales', 'within', 'weeks', ""''"", 'hope', ""'re"", 'going', 'see', 'explicit', 'movement', 'march', 'medical', 'dispensari']"
17802,"RT @NORML: In 1999, the first study to document the efficacy of #THC as a treatment for patients with #Tourette syndrome reported a drop in","['1999', 'first', 'study', 'document', 'efficacy', 'thc', 'treatment', 'patients', 'tourette', 'syndrome', 'reported', 'drop']"
17847,RT @ganjapreneur: #NewJersey Gov. Phil Murphy (D) recently indicated that adult-use #cannabis sales could launch in the state within the ne,"['newjersey', 'gov', 'phil', 'murphy', 'recently', 'indicated', 'adult-use', 'cannabis', 'sales', 'could', 'launch', 'state', 'within']"
17991,"RT @InvestorIdeas: New #Stocks to Watch at Investor Ideas in #Biotech, #Cannabis and #Mining: (NASDAQ: $AMLX) (NASDAQ: $CINC) (NASDAQ: $HIL","['new', 'stocks', 'watch', 'investor', 'ideas', 'biotech', 'cannabis', 'mining', 'nasdaq', 'amlx', 'nasdaq', 'cinc', 'nasdaq', 'hil']"
18091,"RT @excellencia_ltd: RT @martinhoyes: https://t.co/WUkv7kEtgJ are streamlining offboarding for #hr, #legal, #dei, #employeerelations &amp; #fin","['https', '//t.co/wukv7ketgj', 'streamlining', 'offboarding', 'hr', 'legal', 'employeerelations', 'amp', 'fin']"
18099,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
18100,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
18109,"@Elypse2021  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of https://t.co/VCzU03W1At","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'https', '//t.co/vczu03w1at']"
18154,"@TarzTweetler  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations https://t.co/2uF0xynPeY","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'https', '//t.co/2uf0xynpey']"
18190,"RT @excellencia_ltd: RT @martinhoyes: https://t.co/WUkv7kEtgJ are streamlining offboarding for #hr, #legal, #dei, #employeerelations &amp; #fin","['https', '//t.co/wukv7ketgj', 'streamlining', 'offboarding', 'hr', 'legal', 'employeerelations', 'amp', 'fin']"
18217,"@OubiEth  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of ca https://t.co/jhgSyKEH9E","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'https', '//t.co/jhgsykeh9e']"
18226,"RT @excellencia_ltd: RT @martinhoyes: https://t.co/WUkv7kEtgJ are streamlining offboarding for #hr, #legal, #dei, #employeerelations &amp; #fin","['https', '//t.co/wukv7ketgj', 'streamlining', 'offboarding', 'hr', 'legal', 'employeerelations', 'amp', 'fin']"
18270,"RT @martinhoyes: https://t.co/1A6YwXldBQ are streamlining offboarding for #hr, #legal, #dei, #employeerelations &amp; #finance stakeholders. Le","['https', '//t.co/1a6ywxldbq', 'streamlining', 'offboarding', 'hr', 'legal', 'employeerelations', 'amp', 'finance', 'stakeholders']"
18288,"RT @martinhoyes: https://t.co/1A6YwXldBQ are streamlining offboarding for #hr, #legal, #dei, #employeerelations &amp; #finance stakeholders. Le","['https', '//t.co/1a6ywxldbq', 'streamlining', 'offboarding', 'hr', 'legal', 'employeerelations', 'amp', 'finance', 'stakeholders']"
18297,RT @AngelOfCannabis: Couple goals  #StonerFam #smokeweed #CannabisCommunity https://t.co/GNVpGBC8Uq,"['couple', 'goals', 'stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/gnvpgbc8uq']"
18315,"RT @martinhoyes: https://t.co/1A6YwXldBQ are streamlining offboarding for #hr, #legal, #dei, #employeerelations &amp; #finance stakeholders. Le","['https', '//t.co/1a6ywxldbq', 'streamlining', 'offboarding', 'hr', 'legal', 'employeerelations', 'amp', 'finance', 'stakeholders']"
18324,"RT @AngelOfCannabis: Hey guys, I took a little weed nap  hope you're having a good day so far #StonerFam #smokeweed #CannabisCommunity htt","['hey', 'guys', 'took', 'little', 'weed', 'nap', 'hope', ""'re"", 'good', 'day', 'far', 'stonerfam', 'smokeweed', 'cannabiscommunity', 'htt']"
18333,"RT @AnaemekaJay: The dip is not the problem but the lens with which you view the dip.
While some see disappointment, others see opportunity","['dip', 'problem', 'lens', 'view', 'dip', 'see', 'disappointment', 'others', 'see', 'opportunity']"
18351,"RT @martinhoyes: https://t.co/1A6YwXldBQ are streamlining offboarding for #hr, #legal, #dei, #employeerelations &amp; #finance stakeholders. Le","['https', '//t.co/1a6ywxldbq', 'streamlining', 'offboarding', 'hr', 'legal', 'employeerelations', 'amp', 'finance', 'stakeholders']"
18360,"RT @AnaemekaJay: The dip is not the problem but the lens with which you view the dip.
While some see disappointment, others see opportunity","['dip', 'problem', 'lens', 'view', 'dip', 'see', 'disappointment', 'others', 'see', 'opportunity']"
18387,"RT @NORML: In 1999, the first study to document the efficacy of #THC as a treatment for patients with #Tourette syndrome reported a drop in","['1999', 'first', 'study', 'document', 'efficacy', 'thc', 'treatment', 'patients', 'tourette', 'syndrome', 'reported', 'drop']"
18396,RT @AngelOfCannabis: Couple goals  #StonerFam #smokeweed #CannabisCommunity https://t.co/GNVpGBC8Uq,"['couple', 'goals', 'stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/gnvpgbc8uq']"
18432,"RT @martinhoyes: https://t.co/1A6YwXldBQ can help avoid expensive offboarding experiences for #hr, #payroll, #legal, #dei, #employeerelatio","['https', '//t.co/1a6ywxldbq', 'help', 'avoid', 'expensive', 'offboarding', 'experiences', 'hr', 'payroll', 'legal', 'employeerelatio']"
18514,RT @SMOKEYSTAXXX: WHERE ARE MY @CryptoCannaClub TOKERSARE WE READY TO GROW? SHOW US WHAT YA GOT!!! #NFTCommumity #NFTCollection #ccc #Can,"['tokersare', 'ready', 'grow', 'show', 'us', 'got', 'nftcommumity', 'nftcollection', 'ccc']"
18540,RT @AngelOfCannabis: Couple goals  #StonerFam #smokeweed #CannabisCommunity https://t.co/GNVpGBC8Uq,"['couple', 'goals', 'stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/gnvpgbc8uq']"
18585,RT @AngelOfCannabis: Couple goals  #StonerFam #smokeweed #CannabisCommunity https://t.co/GNVpGBC8Uq,"['couple', 'goals', 'stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/gnvpgbc8uq']"
18614,"RT @sloetree: @TiloJung @Karl_Lauterbach Danke fr das Interview. 

Zu #Cannabis htte man gerne fragen drfen, warum die Strafverfolgung a","['danke', 'fr', 'interview', 'cannabis', 'htte', 'gerne', 'fragen', 'drfen', 'warum', 'strafverfolgung']"
18648,"RT @martinhoyes: https://t.co/1A6YwXldBQ are eradicating spreadsheets during offboarding whilst helping #hr, #legal &amp; #dei stay compliant w","['https', '//t.co/1a6ywxldbq', 'eradicating', 'spreadsheets', 'offboarding', 'whilst', 'helping', 'hr', 'legal', 'amp', 'stay', 'compliant', 'w']"
18666,"RT @AnaemekaJay: The dip is not the problem but the lens with which you view the dip.
While some see disappointment, others see opportunity","['dip', 'problem', 'lens', 'view', 'dip', 'see', 'disappointment', 'others', 'see', 'opportunity']"
18684,"RT @todd_harrison: A study of nematodes suggested cannabidiol protects against Alzheimer's disease. 

Also, Schedule I drugs, substances, o","['study', 'nematodes', 'suggested', 'cannabidiol', 'protects', 'alzheimer', ""'s"", 'disease', 'schedule', 'drugs', 'substances']"
18693,"RT @AnaemekaJay: The dip is not the problem but the lens with which you view the dip.
While some see disappointment, others see opportunity","['dip', 'problem', 'lens', 'view', 'dip', 'see', 'disappointment', 'others', 'see', 'opportunity']"
18711,"RT @martinhoyes: https://t.co/1A6YwXldBQ are eradicating spreadsheets during offboarding whilst helping #hr, #legal &amp; #dei stay compliant w","['https', '//t.co/1a6ywxldbq', 'eradicating', 'spreadsheets', 'offboarding', 'whilst', 'helping', 'hr', 'legal', 'amp', 'stay', 'compliant', 'w']"
18747,RT @AngelOfCannabis:  #StonerFam #smokeweed #CannabisCommunity https://t.co/60SYfXVQ6r,"['stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/60syfxvq6r']"
18810,"RT @martinhoyes: https://t.co/1A6YwXldBQ are eradicating spreadsheets during offboarding whilst helping #hr, #legal &amp; #dei stay compliant w","['https', '//t.co/1a6ywxldbq', 'eradicating', 'spreadsheets', 'offboarding', 'whilst', 'helping', 'hr', 'legal', 'amp', 'stay', 'compliant', 'w']"
18864,"RT @martinhoyes: https://t.co/1A6YwXldBQ are eradicating spreadsheets during offboarding whilst helping #hr, #legal &amp; #dei stay compliant w","['https', '//t.co/1a6ywxldbq', 'eradicating', 'spreadsheets', 'offboarding', 'whilst', 'helping', 'hr', 'legal', 'amp', 'stay', 'compliant', 'w']"
18936,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
18937,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
18945,"RT @todd_harrison: NJ GOV: Adult-Use Canna Sales Within Weeks

""I hope you're going to see explicit movement in March on medical dispensari","['nj', 'gov', 'adult-use', 'canna', 'sales', 'within', 'weeks', ""''"", 'hope', ""'re"", 'going', 'see', 'explicit', 'movement', 'march', 'medical', 'dispensari']"
19019,"RT @sloetree: @TiloJung @Karl_Lauterbach Danke fr das Interview. 

Zu #Cannabis htte man gerne fragen drfen, warum die Strafverfolgung a","['danke', 'fr', 'interview', 'cannabis', 'htte', 'gerne', 'fragen', 'drfen', 'warum', 'strafverfolgung']"
