,Message,Tweet Favorite Count,Retweet Count,Created At,Username,Likes,User Description,Following,Followers
52,"POTUS Sleepy Joe Biden, Big Pharma corporate pawn, has inherited an American Nightmare dreamscape where deadly huma… https://t.co/GeKla9AE2J",1,1,2022-02-24 07:49:47+00:00,GriffKohout,59091,"Smokey was a conscientious objector🌎 #GreenCloudArtOrg 
 https://t.co/lQX6d1ikvF 🏀 #FocusUP⬆️ #LevelUP📽#Soliclarity! #BeOfSaintlyService ☸️ Give 💉Blood #ZEN",5001,1301
53,RT @KulpaBart: Biden Has Interviewed Three Candidates for Supreme Court https://t.co/HzT7L4KYss #SupremeCourt #Biden #USA #women #BlackHist…,0,1,2022-02-24 07:34:05+00:00,KulpaBart,46577,"I am a globally-minded person working for an international law firm. I tweet about law, politics, foreign affairs and financial services.",4302,4149
54,Our legal system is corrupt to the core and is the laughing stock of the world.  It is not a fair and protected sys… https://t.co/4JgnBYCaCD,0,0,2022-02-23 23:13:04+00:00,metmgmt22,19420,"When will Donald Trump be indicted and arrested? If that can’t be done, why are we here? Tired of inaction by my own party.",4997,3716
55,"Mr. @jeremyrmiller and @mnsrc, the extreme liberal state of... &lt;checks notes&gt; South Dakota... could beat #Minnesota… https://t.co/IDN9ccR5RF",3,0,2022-02-23 21:10:17+00:00,10000Bakes,17197,"#Minnesota #PotStocks #WeedStocks
#LegalizeIt
No advice given, only questionable opinions.
#BlockedByJimCramer #MSOgang #Cannabis #GreenWave #LFGrow",814,568
56,#FBiden #LetsGoBrandon  Top #Biden #SCOTUS Pick Jailed Man 12 YEARS For #Weed Sale | Breaking Point... https://t.co/Cn4s4hfqCb,0,0,2022-02-23 20:02:07+00:00,DragonDesigns86,2162,"Just an avid  gamer who loves working out, fighting and taking photos  
#Yang2020
#DearMoon
#cycling #cyclingLife
#SocialMediaBeast",3158,1006
57,"@AOC if Uncle Sam USA Corporate Joe Biden wants NO COVID in America, then something must be done about homeless epi… https://t.co/3GnFvPvcp7",1,1,2022-02-23 19:04:44+00:00,GriffKohout,59091,"Smokey was a conscientious objector🌎 #GreenCloudArtOrg 
 https://t.co/lQX6d1ikvF 🏀 #FocusUP⬆️ #LevelUP📽#Soliclarity! #BeOfSaintlyService ☸️ Give 💉Blood #ZEN",5001,1301
58,"RT @THEMMEXCHANGE: Psaki: Biden unmoved on marijuana legalization despite Schumer legislation

 https://t.co/dGjSM2qnZT  #MME #marijuana #c…",0,13,2022-02-23 18:31:43+00:00,MarkQuarter,32927,Quarterly market news coverage,5000,559
59,"RT @S_Andreoni: “What the US government is doing to the American #Cannabis companies, we can do to Russia as well.” 

-President Biden

#SA…",0,4,2022-02-23 18:27:38+00:00,EricTheRode,25,"Husband, father, son, grandpa, frequent consumer of Dr. Pepper, and fan of 80’s rock. Ex-cop, now Director of Compliance in cannabis industry. Opinions are mine",80,11
60,"RT @CannabisFreedo1: State Reps in Delaware are moving a legalization proposal toward a vote. Delaware is President Biden's home state. 

#…",0,3,2022-02-23 14:37:53+00:00,chronictrekkie,246,"I followed my friends here… Chronic, Illness and Trek 🤷🏻‍♀️",21,13
61,"RT @CannabisFreedo1: State Reps in Delaware are moving a legalization proposal toward a vote. Delaware is President Biden's home state. 

#…",0,3,2022-02-23 14:02:56+00:00,GlobalCannaComm,2456,"The GACC advocates for the global legalization and regulation of the cultivation, manufacture, distribution, and use of medical and adult-use cannabis products",2588,2770
62,@RandyOnEd Welcome to using -speech to text and and voice recognition- devices.. teach a child to use these devices… https://t.co/kuDdkICwqM,0,0,2022-02-23 13:47:50+00:00,democrat_iowa,1886,Say freedom (but understand how taxes work first 😝) you can’t control how they spend it. #vote Is your POWER!,137,64
63,"RT @MimiTexasAngel: Things President Biden could do with stroke of a Pen
1. Declare Public Health Emergency from #COVID and provide #health…",0,1,2022-02-23 12:29:23+00:00,BernieBot_2020,33,"FEEL THE BERN, BABY!!!!!

#Bernie2020 #NotMeUs #NoMiddleGround",2,2437
64,"Things President Biden could do with stroke of a Pen
1. Declare Public Health Emergency from #COVID and provide… https://t.co/nI0HV6bYFm",0,1,2022-02-23 12:27:58+00:00,MimiTexasAngel,364135,Cannabinoids regulate cells. Cannabis has 550 nutrients to support health. Plants are Foods. Truth is Power. No Grow No FREEDOM ~ Eat to Heal Nations,4337,5428
65,"RT @S_Andreoni: “What the US government is doing to the American #Cannabis companies, we can do to Russia as well.” 

-President Biden

#SA…",0,4,2022-02-23 11:02:54+00:00,RangDipkin5,2042,,53,14
66,Biden Has Interviewed Three Candidates for Supreme Court https://t.co/HzT7L4KYss #SupremeCourt #Biden #USA #women #BlackHistoryMonth #Legal,1,1,2022-02-23 08:44:29+00:00,KulpaBart,46577,"I am a globally-minded person working for an international law firm. I tweet about law, politics, foreign affairs and financial services.",4302,4149
67,"Until it is struck down its all legal, right Liberal Party of Canada? #liberals #canada #cdnpoli #cdnmedia… https://t.co/VOBH0t0SN6",0,0,2022-02-23 04:19:23+00:00,dobsonian99,0,Born in Saskatoon. Lives in the water.,2,7
68,"RT @S_Andreoni: “What the US government is doing to the American #Cannabis companies, we can do to Russia as well.” 

-President Biden

#SA…",0,4,2022-02-23 03:44:35+00:00,EricNelsonG,4133,,560,164
69,"RT @S_Andreoni: “What the US government is doing to the American #Cannabis companies, we can do to Russia as well.” 

-President Biden

#SA…",0,4,2022-02-23 03:21:58+00:00,Puff_Daddy_Jr,54265,US Cannabis MSO Investor “I’m A Buyer Not A Seller” TRULIEVE #1 Holding $TCNNF $TRUL $TRUL.WT $TCNWF #MSOGang,474,3945
70,"“What the US government is doing to the American #Cannabis companies, we can do to Russia as well.” 

-President Bi… https://t.co/0E8zAgKhWw",42,4,2022-02-23 02:50:43+00:00,S_Andreoni,66986,"Lifelong Ferrari tifoso, wine and cigar aficionado, IPSC Black Badge, MSO investor. #Ferrari #EssereFerrari #cigars $TRUL $CURA $CL $GTII $MSOS #MSOgang",413,4882
71,"#cannabiscommunity #marijuana #cannabis The Marijuana Industry Is Becoming More Inclusive, But Progress Is Slow – T… https://t.co/hS2AXMuf1U",0,0,2022-02-23 02:32:59+00:00,MMPconnection,4560,Join Our #medicalmarijuana community read Breaking Cannabis & Business news informative articles on #CBD #THC All things #marijuana https://t.co/HzfybLd58O,13165,23413
72,RT @chrisoliver75: Imagine the collateral Biden would have right now if he supported #MedicareForAll #Cannabis #FreePrisonerProject #FreeAs…,0,3,2022-02-22 21:44:18+00:00,shirley25030882,1098,I’m everyone’s aunt,911,205
73,"""Biden administration has sidestepped the issue of decriminalizing cannabis despite bipartisan support...""… https://t.co/lbnbLJhFuk",1,0,2022-02-22 21:08:17+00:00,testclear,1,"drug testing, marijuana legalization, decriminalization, privacy",1939,2290
74,"RT @SeedBankME: Push to Relax Marijuana Laws Hits Roadblocks

""Biden administration has sidestepped the issue of decriminalizing cannabis d…",0,1,2022-02-22 18:38:26+00:00,clintfusden043,12897,I'm just a heavy metal hippie who survived a .38 calibur labotmy back in 1993 that Left me a hemiplegic with epilepsy P T S D is a bitch please no dm,1569,286
75,"Push to Relax Marijuana Laws Hits Roadblocks

""Biden administration has sidestepped the issue of decriminalizing ca… https://t.co/BvNTwHni3K",3,1,2022-02-22 16:21:01+00:00,SeedBankME,5903,"CSBM Seeds & Plants Research & Development ⊙ Cannabis Science ∞ THC THCA Δ⁹, THCV, CBD, CBG, CBC, CBN & Terpenes (Cannabis Legalization) @MBreedinger",56,1351
76,"RT @CannabisFreedo1: State Reps in Delaware are moving a legalization proposal toward a vote. Delaware is President Biden's home state. 

#…",0,3,2022-02-22 15:09:20+00:00,VoteToLegalize,1418,The official Twitter page for the Coalition for Cannabis Policy Reform (Formerly the Yes on Prop 19 campaign),2500,16224
77,Im not happy Joe Biden is President. If Bernie and VP Tommy Chong we’re running things #Cannabis wud b legal &amp; mono… https://t.co/nQWw0x9702,5,0,2022-02-22 14:24:12+00:00,BostonRobb,44738,Dissident Reverend - Comedÿ - Father & Husband - Host of The Boston Robb Show (podcast) & Haunted Salem https://t.co/SSpdBhKvBI,7844,6643
78,State Reps in Delaware are moving a legalization proposal toward a vote. Delaware is President Biden's home state.… https://t.co/OUHgQFTt5g,6,3,2022-02-22 13:50:50+00:00,CannabisFreedo1,670,CFA seeks to end cannabis prohibition in a manner consistent with helping all Americans achieve their full potential in a free & open market.,522,631
79,"“As a candidate, President Biden called for decriminalizing marijuana possession. But his administration hasn’t pus… https://t.co/nU7MRVE32B",1,0,2022-02-22 13:13:06+00:00,PaulChatfield23,10901,"Fitness Coach 💪🏃
Cannabis Operator 🌸
Only ManCity ⚽️ 
Student of Philosophy and Religion 🙏",987,325
80,"RT @JoeCanadian9: @BBICONIC_ @Serena_writes and the scary thing is she is in #parliament helping with #policy and #legal decisions.
@Candic…",0,1,2022-02-22 12:37:46+00:00,BBICONIC_,9163,"Canadian 🇨🇦 American 🇺🇸  Patriot 
 #MAGA #MCGA
#PPC 
Facts do not care about your feelings & neither do I,
Patriotic yet politically incorrect! 🖕",2203,2219
81,@BBICONIC_ @Serena_writes and the scary thing is she is in #parliament helping with #policy and #legal decisions.… https://t.co/opnw3KMxaR,1,1,2022-02-22 12:34:42+00:00,JoeCanadian9,1474,"We need to protect the future for our kids and grandkids, this means reducing deficit, running a balance budget & protecting the environment",1458,311
82,"RT @JohnMoo46078823: WATER PAYTON 
Order it here
#weedlovers #BlackOwnedBusiness #BlackHistoryMonth #BlackLivesMatter #Bitcoin #Smokers #Ca…",0,2,2022-02-22 12:01:39+00:00,Blackbiz2020,34598,"Hello, I’m SoulBot ... My job is to retweet #BlackOwnedBusiness... thanks   to @KillerMike’s show #triggerwarningwithkillermike & the Creator @RealNaro",1,7483
83,"WATER PAYTON 
Order it here
#weedlovers #BlackOwnedBusiness #BlackHistoryMonth #BlackLivesMatter #Bitcoin #Smokers… https://t.co/pNv56O8NMz",2,2,2022-02-22 06:27:52+00:00,JohnMoo46078823,1135,"Serious Clients only, Quick and Prompt Delivery. Our clients are the KINGS",596,200
84,"RT @CSASCambridge: Please register for the event! 23 February
#Policing in #liberal #democracies: #legal #violence and #scientific interrog…",0,1,2022-02-21 21:38:37+00:00,RM_Rowe,10922,"Special collections librarian, South Asian & Commonwealth Studies",906,840
85,"Join me and @NORML in telling @JoeBiden @POTUS to pardon non-violent federal marijuana offenses.   

#legalizeit… https://t.co/fxUG7cD64r",0,0,2022-02-21 19:57:14+00:00,alison_ddaeng,7552,socialist. queer. former retail worker. currently angry and exhausted. she/her,377,44
86,The arrogance of our leaders is astounding. Their loyalty to #BigLumber prevents us from progressing into a smarter… https://t.co/YpDjXnHP1s,4,0,2022-02-21 18:53:17+00:00,BeabahJ,49319,"🌹🌹🌹🌹🌹🌹
#SavePalestine
#MedicareForAll
#BlackLivesMatter
#FreePalestine
#GeneralStrike
#FreeAssange
#DemExit
#LiftThePatents
#DefundThePolice",3323,3110
87,"So when do y'all think Biden is gonna legalize weed..??

#Poll #Weed",0,0,2022-02-21 17:45:11+00:00,JoshGarciaJGG,65382,Progressive-Conservative Independent | Abolish The Death Penalty | Stop Endless Wars | Limited Government | Mental HealthCARE | I LOVE YOU ALL | #Tulsi2024,3007,847
88,Lindsey Graham's pick for Biden SCOTUS nominee jailed a man for 12 years for selling 8 ounces of marijuana… https://t.co/wwjW2SE4BB,0,0,2022-02-21 16:49:05+00:00,NationalMJNews,1295,"Follow us for weed culture, cannabis news and survival tips. Come smoke with us 💨 🇺🇸",2921,4919
89,"RT @JohnMoo46078823: AFRICAN ORANGE RESERVE
Get it HERE 👇
#BlackHistoryMonth #BlackLivesMatter #Bitcoin #WeedLovers #Weedmob #Weedlife #Mic…",0,1,2022-02-21 16:34:56+00:00,denisadams444,11510,moi j`aime faire pousser ma fumette de façon légal avec permis pis fumer mon joint ou avec le sublimator moi je vends rien ses pour ma consommation personnelle,443,243
90,"AFRICAN ORANGE RESERVE
Get it HERE 👇
#BlackHistoryMonth #BlackLivesMatter #Bitcoin #WeedLovers #Weedmob #Weedlife… https://t.co/uJFm9GDqRE",2,1,2022-02-21 15:30:52+00:00,JohnMoo46078823,1135,"Serious Clients only, Quick and Prompt Delivery. Our clients are the KINGS",596,200
91,"●ほとんどのアメリカ人はバイデンが2022年にマリファナの非犯罪化の約束を支持しないと予測している、世論調査は見つけます
#大麻 #医療大麻 #CBD #THC #marijuana
https://t.co/UWIJSG6Lfn",0,0,2022-02-21 14:15:00+00:00,Taima_Express,467,大麻関連の情報をツイート中🗣一緒に大麻について学んでみませんか？😉💖絶賛私達も勉強中！現実派👩🏼‍🎓協力者募集😢Tweet in English and Japanese! #大麻 #医療用大麻 #産業用大麻 #hemp #カンナビス #Cannabis #THC #CBD ⚠️鍵アカはブロック対象,59,253
92,RT @AnyPollApp: Biden administration to delay oil and gas leasing amid legal appeal... https://t.co/c31y2kSG7D #biden #administration #to #…,0,1,2022-02-21 13:53:16+00:00,v2_lawblog,25,I Know Your Rights,1,1891
93,Biden administration to delay oil and gas leasing amid legal appeal... https://t.co/c31y2kSG7D #biden… https://t.co/BI4YnorOsP,0,1,2022-02-21 13:49:33+00:00,AnyPollApp,7,Poll Updates. USA Poll Results Platform. Political news. Drudge Alternative.,724,188
94,"Please register for the event! 23 February
#Policing in #liberal #democracies: #legal #violence and #scientific int… https://t.co/Q3VtFT7HgZ",0,1,2022-02-21 11:07:23+00:00,CSASCambridge,550,"The Centre of South Asian Studies, University of Cambridge | A cross-disciplinary research centre, library & archive for scholars of South and Southeast Asia",284,8590
95,RT @chrisbarbour70: How Biden gonna give out free crack pipes and yet #weed remains illegal nationally?,0,3,2022-02-21 01:45:33+00:00,LizardKangz_95,26934,Where in the world is Tappo San Diego? | Adoring fan to @beardoops | Give me liberty or give me tater salad | 🐬,817,1635
96,RT @chrisbarbour70: How Biden gonna give out free crack pipes and yet #weed remains illegal nationally?,0,3,2022-02-21 00:32:28+00:00,BBWSAREAWESOME1,17620,Truck Driver. Hotep. Ordained. Focused. Determined. Just trying to be the best me that I can be. #PushupGang,3302,5185
97,How Biden gonna give out free crack pipes and yet #weed remains illegal nationally?,8,3,2022-02-21 00:14:42+00:00,chrisbarbour70,9889,"Jill's Person, Desert Storm Vet (Navy),LMT, C-PT MMA, Cubs forever, Personal Liberty above all",442,128
98,"What is the point of fighting for #VotingRights when it is voting for a #Republican or #Democrat #Yidiot?

Only… https://t.co/KBYRqq5D3c",0,0,2022-02-20 22:21:19+00:00,LiveHolyLife,0,"No diversity, war, tax, usury, inflation, speculation, publicdebt, fiatmoney, prison, lawyer and only Holy State, Law, Land, Bank, School, Hospital or Media",10,0
99,#SandyHook #Families Savor Long-Awaited #Legal Wins #guns #GunSense #GunControl #remington #NRA @NRA… https://t.co/4nZo1TB1RU,0,0,2022-02-20 20:31:26+00:00,ctmock,67863,Author of The Corner Queen--La Loca de La Esquina:  A Romance and A Revolution,71,383
100,"@SweetL0ve60 @latstetter @TweetingYarnie yes, celebrate fools who fell for old timey
'Conservative VS. Liberal Divi… https://t.co/fbF7cmsPNY",0,0,2022-02-20 12:40:26+00:00,BadBernie2024,716,"badass candidate taking fight to anti-Bernie ***s.
Joe Biden is NOT our friend, Joe Rogan is.
A campaign willing to crush MSNBC ancHOrs & neoliberal elite scum",107,51
101,"RT @cannaspecialist: This should not be! Review of lit shows no reason.

Florida Democrat says medical pot use keeps patients off organ tra…",0,1,2022-02-20 12:30:34+00:00,cannaspecialist,129,,81,573
102,"RT @MMPconnect: #cannabiscommunity #marijuana #cannabis It’s time for Biden to keep his promises on marijuana | News, Sports, Jobs 

contri…",0,1,2022-02-20 05:24:13+00:00,worldcannanews1,480,"Articles, Events, Business ,Pics EVERYTHING #cannabis",186,1529
103,"#cannabiscommunity #marijuana #cannabis It’s time for Biden to keep his promises on marijuana | News, Sports, Jobs… https://t.co/HHPywN5FVY",1,1,2022-02-20 05:22:58+00:00,MMPconnect,4097,"Breaking #Cannabis #News. Strain Reviews, medical #marijuana related content from our community, informative articles on #Strains #THC & #CBD",6983,17304
104,#cannabiscommunity #marijuana #cannabis Sen. Schumer plans to pass legislation that decriminalizes marijuana on a f… https://t.co/HxwVbnoX7C,0,0,2022-02-20 03:33:01+00:00,MMPconnection,4560,Join Our #medicalmarijuana community read Breaking Cannabis & Business news informative articles on #CBD #THC All things #marijuana https://t.co/HzfybLd58O,13165,23413
105,Biden's FDA #Cannabis Friendly Commissioner Recognized the Therapeutic Potential of Cannabis | CLN… https://t.co/w9NifkLqEZ,0,0,2022-02-19 21:19:35+00:00,ng_480,95834,"Ambiverted old-school gamer with a #thirdeye POV on #freedom, #diversity, #equality and finding #commonground for all people. ^_^  Minority of content: NSFW18+",5002,1778
106,RT @IAmShaneBlack: Trending Conversations with IAMSHANEBLACK #weed #biden #laws https://t.co/MCu9xEMnPS via @YouTube #TrendingNow #Weedmob…,0,1,2022-02-19 20:30:03+00:00,France_Verte,53,✌️🤖 👌 Le bot qui roule pour la #FranceVerte 🌱💚🇫🇷 #Légalisation = pouvoir gérer les risques et les bienfaits ! #Cannabis #StopProhibition #CannabisPourTous,3,2796
107,Trending Conversations with IAMSHANEBLACK #weed #biden #laws https://t.co/MCu9xEMnPS via @YouTube #TrendingNow… https://t.co/uhbEdGxlnP,0,1,2022-02-19 20:29:24+00:00,IAmShaneBlack,1677,"YOUTUBER Content creator, Writer,Producer,Editor,Student,Business Owner,Freelance. Support the YouTube channel. CLICK THE LINK. WATCH and SHARE",2137,1352
108,"Progressives wary of possible Biden Supreme Court pick Childs on criminal justice, cite harsh marijuana sentence… https://t.co/sOOCucAuva",2,0,2022-02-19 15:44:30+00:00,Mackewich,741,"Experienced Corporate & Marijuana Attorney. If you need help starting or expanding your business, send me a DM #cannabislaw #cannabis #marijuana #OH5 #msogang",7898,7351
